H_eV,T_noC,T_withC
-2.952024e-01,0.000000e+00,0.000000e+00
-2.927024e-01,0.000000e+00,0.000000e+00
-2.902024e-01,0.000000e+00,0.000000e+00
-2.877024e-01,0.000000e+00,0.000000e+00
-2.852024e-01,0.000000e+00,0.000000e+00
-2.827024e-01,0.000000e+00,0.000000e+00
-2.802024e-01,0.000000e+00,0.000000e+00
-2.777024e-01,0.000000e+00,0.000000e+00
-2.752024e-01,0.000000e+00,0.000000e+00
-2.727024e-01,0.000000e+00,0.000000e+00
-2.702024e-01,0.000000e+00,0.000000e+00
-2.677024e-01,0.000000e+00,0.000000e+00
-2.652024e-01,0.000000e+00,0.000000e+00
-2.627024e-01,0.000000e+00,0.000000e+00
-2.602024e-01,0.000000e+00,0.000000e+00
-2.577024e-01,0.000000e+00,0.000000e+00
-2.552024e-01,0.000000e+00,0.000000e+00
-2.527024e-01,0.000000e+00,0.000000e+00
-2.502024e-01,0.000000e+00,0.000000e+00
-2.477024e-01,0.000000e+00,0.000000e+00
-2.452024e-01,0.000000e+00,0.000000e+00
-2.427024e-01,0.000000e+00,0.000000e+00
-2.402024e-01,0.000000e+00,0.000000e+00
-2.377024e-01,0.000000e+00,0.000000e+00
-2.352024e-01,0.000000e+00,0.000000e+00
-2.327024e-01,0.000000e+00,0.000000e+00
-2.302024e-01,0.000000e+00,0.000000e+00
-2.277024e-01,0.000000e+00,0.000000e+00
-2.252024e-01,0.000000e+00,0.000000e+00
-2.227024e-01,0.000000e+00,0.000000e+00
-2.202024e-01,0.000000e+00,0.000000e+00
-2.177024e-01,0.000000e+00,0.000000e+00
-2.152024e-01,0.000000e+00,0.000000e+00
-2.127024e-01,0.000000e+00,0.000000e+00
-2.102024e-01,0.000000e+00,0.000000e+00
-2.077024e-01,0.000000e+00,0.000000e+00
-2.052024e-01,0.000000e+00,0.000000e+00
-2.027024e-01,0.000000e+00,0.000000e+00
-2.002024e-01,0.000000e+00,0.000000e+00
-1.977024e-01,0.000000e+00,0.000000e+00
-1.952024e-01,0.000000e+00,0.000000e+00
-1.927024e-01,0.000000e+00,0.000000e+00
-1.902024e-01,0.000000e+00,0.000000e+00
-1.877024e-01,0.000000e+00,0.000000e+00
-1.852024e-01,0.000000e+00,0.000000e+00
-1.827024e-01,0.000000e+00,0.000000e+00
-1.802024e-01,0.000000e+00,0.000000e+00
-1.777024e-01,0.000000e+00,0.000000e+00
-1.752024e-01,0.000000e+00,0.000000e+00
-1.727024e-01,0.000000e+00,0.000000e+00
-1.702024e-01,0.000000e+00,0.000000e+00
-1.677024e-01,0.000000e+00,0.000000e+00
-1.652024e-01,0.000000e+00,0.000000e+00
-1.627024e-01,0.000000e+00,0.000000e+00
-1.602024e-01,0.000000e+00,0.000000e+00
-1.577024e-01,0.000000e+00,0.000000e+00
-1.552024e-01,0.000000e+00,0.000000e+00
-1.527024e-01,0.000000e+00,0.000000e+00
-1.502024e-01,0.000000e+00,0.000000e+00
-1.477024e-01,0.000000e+00,0.000000e+00
-1.452024e-01,0.000000e+00,0.000000e+00
-1.427024e-01,0.000000e+00,0.000000e+00
-1.402024e-01,0.000000e+00,0.000000e+00
-1.377024e-01,0.000000e+00,0.000000e+00
-1.352024e-01,0.000000e+00,0.000000e+00
-1.327024e-01,0.000000e+00,0.000000e+00
-1.302024e-01,0.000000e+00,0.000000e+00
-1.277024e-01,0.000000e+00,0.000000e+00
-1.252024e-01,0.000000e+00,0.000000e+00
-1.227024e-01,0.000000e+00,0.000000e+00
-1.202024e-01,0.000000e+00,0.000000e+00
-1.177024e-01,0.000000e+00,0.000000e+00
-1.152024e-01,0.000000e+00,0.000000e+00
-1.127024e-01,0.000000e+00,0.000000e+00
-1.102024e-01,0.000000e+00,0.000000e+00
-1.077024e-01,0.000000e+00,0.000000e+00
-1.052024e-01,0.000000e+00,0.000000e+00
-1.027024e-01,0.000000e+00,0.000000e+00
-1.002024e-01,0.000000e+00,0.000000e+00
-9.770235e-02,0.000000e+00,0.000000e+00
-9.520235e-02,0.000000e+00,0.000000e+00
-9.270235e-02,0.000000e+00,0.000000e+00
-9.020235e-02,0.000000e+00,0.000000e+00
